OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,FACE_VALUE,LOCATION_DETAILS,SPEED_BAND,SPEED_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,TOTAL_NUMBER,TOTAL_VALUE
2011-2012,01/03/2012,770,Larceny (Under 300 dollars),CRIMES ACT 1900,300,,,,,,,,56,16800
2011-2012,01/04/2012,18125,Be nude near bathing place/river/watercourse/water/sea,LOCAL GOVERNMENT ACT 1993,110,,,,,,,,3,330
2011-2012,01/05/2012,74460,P1 driver exceed 90 km/h - over 20 km/h - Radar,ROAD RULES 2008,371,,EXCEED SPEED OVER 20KM/H,Y,,,,,39,14469
2011-2012,01/05/2012,19584,Owner use vehicle on road/road related area with tax unpaid,MOTOR VEHICLES TAXATION ACT 1988,530,,,,,,,,231,122430
2012-2013,01/09/2012,74705,Exceed speed limit over 20km/h - Camera Detected,ROAD RULES 2008,417,MATE STREET NORTH ALBURY NORTHBOUND,EXCEED SPEED OVER 20KM/H,Y,Y,,,,1,417
2012-2013,01/02/2013,74079,Fail to surrender number-plate to Authority,ROAD TRANSPORT (VEHICLE REGISTRATION) REGULATION 2007,99,,,,,,,,4,396
2012-2013,01/04/2013,64220,Not give way to vehicle when entering roundabout,ROAD RULES 2008,298,,,,,,,,107,31886
2012-2013,01/05/2013,77981,Driver use mobile phone when not permitted,ROAD RULES 2008,298,,,,,,Y,,2499,744702
2012-2013,01/05/2013,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,105,MOOREFIELDS ROAD KINGSGROVE EASTBOUND,EXCEED SPEED 10KM/H OR UNDER,Y,Y,,,,29,3045
2012-2013,01/05/2013,74439,Learner exceed 90 km/h - over 20 km/h - Lidar,ROAD RULES 2008,417,,EXCEED SPEED OVER 20KM/H,Y,,,,,7,2919
2013-2014,01/10/2013,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,248,PALMYRA AVENUE LETHBRIDGE PARK NORTHBOUND,EXCEED SPEED OVER 10KM/H,Y,Y,,,,8,1984
2013-2014,01/10/2013,74912,Use uninsured motor vehicle,MOTOR ACCIDENTS COMPENSATION ACT 1999,607,,,,,,,,1533,930531
2013-2014,01/11/2013,74912,Use uninsured motor vehicle,MOTOR ACCIDENTS COMPENSATION ACT 1999,607,,,,,,,,1594,967558
2013-2014,01/11/2013,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,248,HUME HIGHWAY MARULAN WESTBOUND,EXCEED SPEED OVER 10KM/H,Y,Y,,,,1,248
2013-2014,01/11/2013,64189,Disobey no entry sign-motor vehicle,ROAD RULES 2008,236,,,,,,,,244,57584
2013-2014,01/12/2013,74705,Exceed speed limit over 20km/h - Camera Detected,ROAD RULES 2008,425,PITTWATER ROAD DEE WHY SOUTHBOUND,EXCEED SPEED OVER 20KM/H,Y,Y,,,,3,1275
2013-2014,01/01/2014,9325,Fail to comply with terms of notice erected by council,LOCAL GOVERNMENT ACT 1993,110,,,,,,,,148,16280
2013-2014,01/01/2014,66455,Not comply conditions of licence (not clause 22(b) - 32 - 33 - 34),ROAD TRANSPORT (DRIVER LICENSING) REGULATION 2008,236,,,,,,,,336,79296
2013-2014,01/02/2014,81507,Not comply notice to register companion animal - not dangerous/menacing/restricted dog,COMPANION ANIMALS ACT 1998,275,,,,,,,,227,62425
2013-2014,01/02/2014,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,248,FITZWILLIAM ROAD TOONGABBIE (Z) EASTBOUND,EXCEED SPEED OVER 10KM/H,Y,Y,,,,4,992
2013-2014,01/04/2014,8466,Stop within 10 metres of an intersection without traffic lights,ROAD RULES 2008,236,,,,,,,Y,1322,311992
2013-2014,01/05/2014,64032,Not give way to oncoming vehicle (right turn),ROAD RULES 2008,304,,,,,,,,48,14592
2014-2015,01/07/2014,64077,Not stop at stop line/sign (intersection with no lights),ROAD RULES 2008,311,,,,,,,,890,276790
2014-2015,01/07/2014,64503,Passenger not wear seatbelt adjusted and fastened (16 years or older),ROAD RULES 2008,311,,,,,Y,,,177,55047
2014-2015,01/08/2014,74345,Class A motor vehicle exceed speed limit - 10 km/h and under,ROAD RULES 2008,109,,EXCEED SPEED 10KM/H OR UNDER,Y,,,,,469,51121
2014-2015,01/09/2014,8405,Not parallel park in direction of travel,ROAD RULES 2008,173,,,,,,,Y,1007,174211
2014-2015,01/10/2014,8395,Stop on path/strip in built-up area,ROAD RULES 2008,104,,,,,,,Y,1960,203840
2014-2015,01/09/2014,79220,Negligent driving (no death or grievous bodily harm),ROAD TRANSPORT ACT 2013,415,,,,,,,,1369,568135
