OFFENCE_CODE,OFFENCE_DESC,OFFENCE_FINYEAR,OFFENCE_MONTH,FACE_VALUE
74460,P1 driver exceed 90 km/h - over 20 km/h - Radar,2011-2012,01/05/2012,371
74705,Exceed speed limit over 20km/h - Camera Detected,2012-2013,01/09/2012,417
74701,Exceed speed limit 10km/h and under - Camera Detected,2012-2013,01/05/2013,105
74439,Learner exceed 90 km/h - over 20 km/h - Lidar,2012-2013,01/05/2013,417
74703,Exceed speed limit over 10km/h - Camera Detected,2013-2014,01/10/2013,248
74345,Class A motor vehicle exceed speed limit - 10 km/h and under,2014-2015,01/08/2014,109
74479,P2 driver exceed 100 km/h - over 20 km/h - Lidar,2014-2015,01/10/2014,436
83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,2014-2015,01/01/2015,109
83051,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Individual,2014-2015,01/05/2015,436
82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,2015-2016,01/07/2015,446
83221,Class A motor vehicle exceed speed limit - 10 km/h and under - Lidar,2015-2016,01/06/2016,112
83004,Class A motor vehicle exceed speed limit - over 20 km/h - Radar,2016-2017,01/03/2017,455
83011,Class B motor vehicle exceed speed limit - over 10 km/h - Radar,2016-2017,01/06/2017,455
83026,P1 driver exceed 90 km/h - over 20 km/h - Lidar,2017-2018,01/07/2017,462
32950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Corporation,2017-2018,01/09/2017,1345
74721,Exceed speed limit 10 km/h and under - Camera Detected,2013-2014,01/11/2013,319
74707,Exceed speed limit over 30 km/h - Camera Detected,2013-2014,01/10/2013,815
74360,Class A motor vehicle exceed speed limit - over 20 km/h - Radar,2014-2015,01/09/2014,436
83110,Class A motor vehicle exceed speed limit - over 30 km/h - Radar,2014-2015,01/12/2014,835
83202,P1 driver exceed 90 km/h - over 20 km/h,2014-2015,01/04/2015,436
82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,2016-2017,01/12/2016,872
82956,P1 driver exceed 90 km/h - 10 km/h and under,2016-2017,01/03/2017,114
82961,Class A motor vehicle exceed speed limit - over 30 km/h - Lidar,2016-2017,01/04/2017,872
82970,P2 driver exceed 100 km/h - over 20 km/h - Lidar,2017-2018,01/11/2017,462
24701,Exceed speed limit 10km/h and under - Camera Detected,2011-2012,01/01/2012,93
74456,P1 driver exceed 90 km/h - over 10 km/h - Radar,2012-2013,01/12/2012,243
74702,Exceed speed limit 10 km/h and under - Camera Detected - School Zone,2012-2013,01/02/2013,173
83019,Class A motor vehicle exceed speed limit - over 10 km/h - Lidar,2014-2015,01/12/2014,254
